dif,R,RMSE,KGE,name,,,,
-29.5,0.364095133,53.93639469,-24.15710975,Budburst_cubic_SoS_threshold_NDPI3,128,176,187,491
17.5,0.104151705,59.809566,-24.53413654,Budburst_cubic_SoS_threshold_DVI3,229,197,188,614
-35.5,0.422328278,54.01098624,-24.73741906,Budburst_cubic_SoS_threshold_NDPI4,115,177,189,481
25.5,0.110840806,65.70665656,-26.07118696,Budburst_cubic_SoS_threshold_NDVI1,227,201,190,618
25.5,0.213733614,57.44594037,-26.51095263,Budburst_SoS_doublelogisticthreshold_DVI2,192,187,191,570
31.5,0.195871477,58.47959678,-26.79887025,Budburst_SoS_doublelogisticthreshold_DVI13,201,193,192,586
-50.5,0.5577214,57.96342677,-26.87486826,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI5,72,188,193,453
-39.5,0.400659817,58.01704569,-27.31405719,Budburst_cubic_SoS_threshold_NDPI5,118,189,194,501
-26.5,0.353391767,58.36427184,-27.97869112,Budburst_SoS_doublelogisticthreshold_NDPI2,132,190,195,517
-19.5,0.365302007,59.4230865,-27.98097068,Budburst_SoS_doublelogisticthreshold_NDPI13,127,196,196,519
-10.5,0.339004675,62.68033636,-29.01283587,Budburst_SoS_doublelogisticthreshold_NDPI1,138,199,197,534
23.5,0.009244999,68.94914911,-29.09719166,Budburst_cubic_SoS_threshold_NDGI2,238,203,198,639
-42.5,0.432256124,58.52912856,-29.14828015,Budburst_SoS_doublelogisticthreshold_NDPI4,111,194,199,504
-35.5,0.35923878,59.06560475,-29.44051243,Budburst_SoS_doublelogisticthreshold_NDPI3,130,195,200,525
20.5,0.028093627,69.72615583,-30.00493496,Budburst_cubic_SoS_threshold_DVI2,237,204,201,642
40.5,0.220886951,63.41521291,-30.06807904,Budburst_SoS_doublelogisticthreshold_DVI1,190,200,202,592
-49.5,0.436700575,60.52826012,-30.30962104,Budburst_SoS_doublelogisticthreshold_NDPI5,109,198,203,510
100.5,0.108226105,68.0506172,-31.94713177,Budburst_cubic_SoS_threshold_NDPI2,228,202,204,634
27.5,0.04043518,74.0020494,-32.84946359,Budburst_cubic_SoS_threshold_NDGI13,234,205,205,644
21.5,0.073599629,75.65240206,-34.2385238,Budburst_cubic_SoS_threshold_DVI13,231,207,206,644
100.5,0.039698106,74.97945343,-35.31219602,Budburst_cubic_SoS_threshold_NDPI13,235,206,207,648
31.5,-0.084960491,82.32043833,-40.07577443,Budburst_cubic_SoS_threshold_NDGI1,239,209,208,656
23.5,0.053223985,83.03889525,-40.68316976,Budburst_cubic_SoS_threshold_DVI1,233,210,209,652
100.5,-0.101111759,82.28412897,-40.87004952,Budburst_cubic_SoS_threshold_NDPI1,240,208,210,658
-93.5,0.20725445,101.1598021,-60.47918657,Budburst_SoS_mintomaxthreshold_EVI1,194,211,211,616
-93.5,0.20725445,101.1598021,-60.47918657,Budburst_SoS_mintomaxthreshold_EVI13,195,212,212,619
-93.5,0.20725445,101.1598021,-60.47918657,Budburst_SoS_mintomaxthreshold_EVI2,196,213,213,622
-93.5,0.20725445,101.1598021,-60.47918657,Budburst_SoS_mintomaxthreshold_EVI3,197,214,214,625
-93.5,0.20725445,101.1598021,-60.47918657,Budburst_SoS_mintomaxthreshold_EVI4,198,215,215,628
-93.5,0.20725445,101.1598021,-60.47918657,Budburst_SoS_mintomaxthreshold_EVI5,199,216,216,631
-97.5,0.260794874,105.9746029,-66.42693607,Budburst_SoS_mintomaxthreshold_NDVI1,162,217,217,596
-97.5,0.260794874,105.9746029,-66.42693607,Budburst_SoS_mintomaxthreshold_NDVI13,163,218,218,599
-97.5,0.260794874,105.9746029,-66.42693607,Budburst_SoS_mintomaxthreshold_NDVI2,164,219,219,602
-97.5,0.260794874,105.9746029,-66.42693607,Budburst_SoS_mintomaxthreshold_NDVI3,165,220,220,605
-97.5,0.260794874,105.9746029,-66.42693607,Budburst_SoS_mintomaxthreshold_NDVI4,166,221,221,608
-97.5,0.260794874,105.9746029,-66.42693607,Budburst_SoS_mintomaxthreshold_NDVI5,167,222,222,611
-97.5,0.247332991,107.4198478,-68.2663248,Budburst_SoS_mintomaxthreshold_NDGI1,178,223,223,624
-97.5,0.247332991,107.4198478,-68.2663248,Budburst_SoS_mintomaxthreshold_NDGI13,179,224,224,627
-97.5,0.247332991,107.4198478,-68.2663248,Budburst_SoS_mintomaxthreshold_NDGI2,180,225,225,630
-97.5,0.247332991,107.4198478,-68.2663248,Budburst_SoS_mintomaxthreshold_NDGI3,181,226,226,633
-97.5,0.247332991,107.4198478,-68.2663248,Budburst_SoS_mintomaxthreshold_NDGI4,182,227,227,636
-97.5,0.247332991,107.4198478,-68.2663248,Budburst_SoS_mintomaxthreshold_NDGI5,183,228,228,639
-97.5,0.182588642,117.1630799,-93.09247276,Budburst_SoS_mintomaxthreshold_NDPI1,203,229,229,661
-97.5,0.182588642,117.1630799,-93.09247276,Budburst_SoS_mintomaxthreshold_NDPI13,204,230,230,664
-97.5,0.182588642,117.1630799,-93.09247276,Budburst_SoS_mintomaxthreshold_NDPI2,205,231,231,667
-97.5,0.182588642,117.1630799,-93.09247276,Budburst_SoS_mintomaxthreshold_NDPI3,206,232,232,670
-97.5,0.182588642,117.1630799,-93.09247276,Budburst_SoS_mintomaxthreshold_NDPI4,207,233,233,673
-97.5,0.182588642,117.1630799,-93.09247276,Budburst_SoS_mintomaxthreshold_NDPI5,208,234,234,676
-136.5,0.130679042,134.8184384,-109.2791856,Budburst_SoS_mintomaxthreshold_DVI1,219,235,235,689
-136.5,0.130679042,134.8184384,-109.2791856,Budburst_SoS_mintomaxthreshold_DVI13,220,236,236,692
-136.5,0.130679042,134.8184384,-109.2791856,Budburst_SoS_mintomaxthreshold_DVI2,221,237,237,695
-136.5,0.130679042,134.8184384,-109.2791856,Budburst_SoS_mintomaxthreshold_DVI3,222,238,238,698
-136.5,0.130679042,134.8184384,-109.2791856,Budburst_SoS_mintomaxthreshold_DVI4,223,239,239,701
-136.5,0.130679042,134.8184384,-109.2791856,Budburst_SoS_mintomaxthreshold_DVI5,224,240,240,704
